level_strict3,locale_simple,start_year,end_year,start_rate,end_rate,abs_change,pct_change,log_change,direction
Alternative,Unknown,2017-18,2023-24,0.2779291553133515,0.02857142857142857,-0.2493577267419229,-0.8971988795518206,-2.2749590267191144,Decrease
Alternative,Rural,2017-18,2023-24,0.21498977124790775,0.08292313517606967,-0.13206663607183808,-0.614292648925842,-0.9526763549032761,Decrease
Alternative,Town,2017-18,2023-24,0.22309945243855853,0.11498867613753345,-0.10811077630102507,-0.4845855743675513,-0.6627839919579516,Decrease
Middle,Unknown,2017-18,2022-23,0.07692593832533572,0.02530120481927711,-0.051624733506058604,-0.671096571974552,-1.1119911031432113,Decrease
Alternative,Suburban,2017-18,2023-24,0.10874824476814021,0.07496214864064249,-0.03378609612749772,-0.3106817604231896,-0.37205222842682023,Decrease
Other/Unknown,Unknown,2017-18,2023-24,0.05545327343692466,0.03354233572921446,-0.0219109377077102,-0.39512433350995596,-0.5027323520051671,Decrease
Alternative,City,2017-18,2023-24,0.0648179815861116,0.04344693116310614,-0.02137105042300546,-0.3297086687991621,-0.40004283841729743,Decrease
High,Rural,2017-18,2023-24,0.07740392145694798,0.056266427596324296,-0.021137493860623684,-0.27308040035646447,-0.318939399526484,Decrease
Other/Unknown,City,2017-18,2023-24,0.05577604972527518,0.047600771745185476,-0.008175277980089705,-0.14657326971624954,-0.1584955866145336,Decrease
Other/Unknown,Rural,2017-18,2023-24,0.06743121145690344,0.05944092877651555,-0.007990282680387886,-0.11849531556309985,-0.1261249629928188,Decrease
Middle,Town,2017-18,2023-24,0.10498294651027369,0.1119324528549839,0.006949506344710213,0.06619652596653049,0.06409766706931734,Increase
High,City,2017-18,2023-24,0.04905666169129412,0.043839772751460455,-0.005216888939833665,-0.10634414898964649,-0.11243453204960517,Decrease
Middle,City,2017-18,2023-24,0.054002028245192304,0.0488446416506642,-0.005157386594528107,-0.09550357203457926,-0.10037692333598855,Decrease
Other/Unknown,Suburban,2017-18,2023-24,0.06039036481917799,0.05544922754979316,-0.004941137269384832,-0.08181996058774743,-0.08536178622681763,Decrease
Elementary,Town,2017-18,2023-24,0.047893885923891315,0.0440251572327044,-0.003868728691186915,-0.08077708911184933,-0.08422662794516445,Decrease
Middle,Suburban,2017-18,2023-24,0.053215363712956334,0.04937564646865199,-0.003839717244304347,-0.07215429861601212,-0.07488983008069322,Decrease
High,Town,2017-18,2023-24,0.10001676835167103,0.0964802891100196,-0.00353647924165143,-0.03535886331796627,-0.035999125893301454,Decrease
Middle,Rural,2017-18,2023-24,0.05933528367943983,0.05616608921611087,-0.0031691944633289656,-0.053411634137465455,-0.05489095203287173,Decrease
Other/Unknown,Town,2017-18,2023-24,0.07336846372111877,0.07545405982905982,0.002085596107941054,0.028426329272323646,0.028029798252543866,Increase
Elementary,Suburban,2017-18,2023-24,0.01699600937209128,0.015281793891580448,-0.0017142154805108323,-0.10085988086860569,-0.10631639555282192,Decrease
High,Suburban,2017-18,2023-24,0.05136197170982291,0.049876701495205775,-0.0014852702146171334,-0.028917702439625725,-0.029344058813379478,Decrease
Elementary,City,2017-18,2023-24,0.010796648509921278,0.009705826066341235,-0.0010908224435800425,-0.10103343112241375,-0.10650943221244209,Decrease
Elementary,Rural,2017-18,2023-24,0.02538290513833992,0.025001369187797797,-3.81535950542123e-4,-0.015031216815518384,-0.015145330510752274,Decrease
Elementary,Unknown,2017-18,2023-24,0.03779050628744486,NA,NA,NA,NA,NA
High,Unknown,2017-18,2023-24,0.029895680179234056,NA,NA,NA,NA,NA
